date,primemover_id,time,travel_empty,stopped_empty,loading,travel_loaded,stopped_loaded,dumping,nett_cycle_time
2022-05-26,7008,23:15:08,16.44,1.8,13.78,77.42,1.61,2.47,113.52
2022-05-27,7008,01:08:39,17.57,0.42,14.67,17.23,0.41,2.33,52.63
2022-05-27,7008,02:01:17,14.57,5.53,10.73,21.76,1.29,2.31,56.2
2022-05-27,7008,02:57:28,6.97,9.77,0.0,27.03,5.2,2.24,51.22
2022-05-27,7008,03:48:42,19.39,0.95,9.44,22.32,35.81,2.21,90.12
2022-05-27,7008,05:18:49,15.57,11.81,8.94,21.42,0.0,2.4,60.12
2022-05-27,7008,06:21:31,14.54,3.09,18.5,20.85,4.6,3.85,65.43
2022-05-27,7008,08:09:57,12.39,0.15,16.6,19.66,1.16,3.38,53.36
2022-05-27,7008,09:03:19,13.05,0.22,1.47,21.82,9.4,2.69,48.64
2022-05-27,7008,09:51:57,14.89,3.65,14.07,18.22,0.41,2.58,53.81
2022-05-27,7008,10:45:46,30.59,33.15,427.91,38.95,3.37,2.2,536.15
2022-05-27,7008,20:13:26,15.9,0.42,4.99,20.46,4.74,2.25,48.77
2022-05-27,7008,21:02:12,16.61,6.51,7.28,17.77,7.63,2.18,57.98
2022-05-27,7008,22:00:11,16.77,0.49,5.77,19.72,3.31,2.18,48.23
2022-05-27,7008,22:48:25,16.85,1.36,7.28,19.72,1.47,2.15,48.83
2022-05-27,7008,23:37:15,19.73,72.76,13.07,14.68,3.49,2.39,126.12
2022-05-28,7008,01:45:15,19.21,0.2,9.34,14.2,0.63,2.14,45.71
2022-05-28,7008,02:30:58,19.93,0.22,8.28,14.31,13.42,2.4,58.54
2022-05-28,7008,03:29:30,16.27,0.18,7.18,17.79,0.72,2.23,44.37
2022-05-28,7008,04:13:53,11.16,15.6,0.0,18.02,7.77,1.98,54.52
2022-05-28,7008,05:08:24,16.29,1.47,6.28,21.47,23.03,2.51,71.08
2022-05-28,7008,07:03:17,18.96,10.04,8.52,12.18,0.64,2.56,52.91
2022-05-28,7008,07:56:12,17.92,65.84,13.95,15.45,11.38,3.61,128.15
2022-05-28,7008,10:04:21,18.48,0.0,9.09,15.05,2.02,2.31,46.91
2022-05-28,7008,10:51:16,13.1,0.5,9.11,21.25,6.08,2.04,52.1
2022-05-28,7008,11:43:22,10.46,9.75,0.0,13.54,2.02,2.44,38.21
2022-05-28,7008,13:10:19,19.32,0.3,13.24,15.11,0.66,2.47,51.08
2022-05-28,7008,14:01:24,17.73,0.54,24.13,14.43,1.99,1.97,60.79
2022-05-28,7008,15:02:11,15.72,0.75,15.27,17.64,11.79,2.08,63.24
2022-05-28,7008,16:05:25,21.07,8.45,0.0,16.28,20.71,2.31,68.84
2022-05-28,7008,17:14:16,14.04,0.44,7.88,21.52,2.66,2.19,48.72
2022-05-28,7008,18:05:38,14.21,2.08,9.81,18.62,6.8,2.55,54.06
2022-05-28,7008,20:07:58,16.6,0.26,9.64,18.77,2.19,1.85,49.3
2022-05-28,7008,20:57:17,14.97,0.25,8.82,21.2,1.77,2.15,49.18
2022-05-28,7008,21:46:28,15.22,0.28,7.52,19.81,1.5,2.25,46.57
2022-05-28,7008,22:33:02,16.96,6.21,9.9,18.97,1.76,2.21,56.02
2022-05-28,7008,23:29:03,8.5,2.56,21.59,28.12,84.4,4.34,149.49
2022-05-29,7008,01:58:44,14.2,1.05,8.87,19.32,3.69,2.47,49.6
2022-05-29,7008,02:48:20,18.7,0.42,10.74,17.88,4.16,2.29,54.18
2022-05-29,7008,03:42:30,16.58,0.83,9.4,17.38,0.75,2.2,47.14
2022-05-29,7008,04:29:39,11.36,14.74,6.06,21.32,48.84,2.23,104.57
2022-05-29,7008,07:03:37,20.06,6.65,31.35,15.17,0.67,2.36,76.25
2022-05-29,7008,08:19:52,21.34,6.7,9.37,12.3,4.63,2.39,56.73
2022-05-29,7008,09:16:36,16.04,5.65,7.37,17.53,2.69,4.84,54.11
2022-05-29,7008,10:10:42,42.34,0.26,7.14,18.39,0.39,1.99,70.51
2022-05-29,7008,11:21:13,21.43,9.33,18.75,44.48,13.59,2.27,109.83
2022-05-29,7008,13:49:49,14.38,0.7,7.7,19.81,0.83,2.3,45.72
2022-05-29,7008,14:35:32,13.0,0.35,8.35,21.09,3.38,2.87,49.03
2022-05-29,7008,15:24:34,11.26,4.37,16.01,25.44,0.42,2.25,59.75
2022-05-29,7008,16:24:19,12.59,51.86,9.48,112.96,49.62,2.21,238.73
2022-05-29,7008,20:23:03,0.0,20.65,0.0,0.0,20.3,2.22,43.17
2022-05-29,7008,21:06:13,8.2,6.77,6.61,19.3,20.75,2.13,63.73
2022-05-29,7008,22:09:57,9.84,43.71,6.54,34.87,65.06,1.66,161.69
2022-05-30,7008,00:51:38,19.6,4.08,141.71,10.53,10.88,2.27,189.07
2022-05-30,7008,04:02:50,10.12,0.17,5.49,23.53,2.38,2.44,44.14
2022-05-30,7008,04:46:58,0.55,0.0,0.0,46.45,39.0,2.43,88.41
2022-05-30,7008,06:59:46,10.36,49.5,17.2,15.22,0.59,2.33,95.21
2022-05-30,7008,08:35:15,29.19,4.72,6.14,5.01,0.3,2.76,48.1
2022-05-30,7008,09:23:21,7.74,0.2,7.84,25.12,6.73,2.44,50.09
2022-05-30,7008,10:13:26,10.37,0.26,6.82,22.87,2.09,2.3,44.7
2022-05-30,7008,10:58:08,13.57,0.38,7.55,19.85,0.47,3.05,44.86
2022-05-30,7008,11:43:00,0.85,0.27,1.22,28.31,8.08,2.47,41.2
2022-05-30,7008,13:21:18,14.87,0.0,10.82,21.22,6.08,1.8,54.78
2022-05-30,7008,14:16:05,50.5,5.17,25.4,89.49,40.16,2.66,213.37
2022-05-30,7008,17:49:27,19.44,5.39,9.85,11.73,0.98,2.33,49.72
2022-05-30,7008,19:50:06,32.75,0.87,0.0,7.8,1.47,2.4,45.28
2022-05-30,7008,20:35:23,16.15,0.67,4.32,19.2,1.2,2.8,44.33
2022-05-30,7008,21:19:43,13.07,9.66,4.01,21.61,3.9,2.61,54.85
2022-05-30,7008,22:14:34,17.25,0.23,4.15,24.12,18.53,1.8,66.07
2022-05-30,7008,23:20:38,29.26,18.37,26.69,73.81,78.16,1.33,227.62
2022-05-31,7008,04:12:05,16.25,10.84,9.44,23.68,2.16,1.35,63.73
2022-05-31,7008,05:15:49,21.53,2.19,4.73,18.72,6.14,2.2,55.52
2022-06-04,7008,18:15:15,0.0,2376.74,0.0,0.0,35.06,1.05,2412.83
2022-06-04,7007,19:28:30,0.87,2250.18,9.35,19.32,50.55,4.19,2334.43
2022-06-06,7007,10:22:56,18.38,33.26,8.2,18.64,4.83,2.54,85.85
2022-06-06,7008,11:32:17,0.0,24.34,0.0,0.0,12.39,2.43,39.17
2022-06-06,7007,11:48:47,33.65,76.35,18.6,0.47,0.0,2.5,131.57
2022-06-06,7008,13:15:31,0.0,31.35,0.0,0.0,29.38,2.32,63.05
2022-06-06,7007,14:00:21,34.52,6.58,8.89,0.53,0.4,2.5,53.45
